job_title,role_standard,skills_cleaned,skills_count
Cybersecurity,Cyber Security,"docker, r, node, go, pandas, c, mongodb",7
Cybersecurity,Cyber Security,"css, javascript, r, sql, java, c",6
DevOps,DevOps Engineer,"css, javascript, r, go, java, c, mongodb, kubernetes, tensorflow",9
Web Dev,Web Developer,"javascript, r, sql, java, c",5
Cybersecurity,Cyber Security,"python, docker, r, node, go, pandas, c, mongodb, kubernetes",9
Data Science,Data Scientist,"docker, html, r, go, sql, pandas, c, mongodb",8
Web Dev,Web Developer,"python, docker, r, go, sql, pandas, c, mongodb, tensorflow",9
Web Dev,Web Developer,"javascript, r, node, react, sql, java, c",7
Cybersecurity,Cyber Security,"css, html, node, go, sql, pandas, c, mongodb",8
Cybersecurity,Cyber Security,"docker, r, node, react, pandas, c, tensorflow",7
AI/ML,Software Engineer (General),"python, r, go, c, mongodb, kubernetes",6
Data Science,Data Scientist,"css, docker, r, node, sql, c",6
Data Science,Data Scientist,"python, css, html, r, react, pandas, c",7
AI/ML,Software Engineer (General),"html, javascript, r, java, c, kubernetes",6
AI/ML,Software Engineer (General),"css, javascript, r, go, java, c, mongodb",7
Data Science,Data Scientist,"r, go, react, c, mongodb",5
AI/ML,Software Engineer (General),"python, docker, r, node, react, java, pandas, c",8
Cybersecurity,Cyber Security,"python, docker, r, go, java, c, mongodb",7
AI/ML,Software Engineer (General),"docker, javascript, r, java, pandas, c",6
Data Science,Data Scientist,"r, node, go, react, c, mongodb, kubernetes, tensorflow",8
Data Science,Data Scientist,"javascript, r, java, c, tensorflow",5
Cybersecurity,Cyber Security,"r, go, pandas, c, mongodb, kubernetes",6
Web Dev,Web Developer,"css, c, sql",3
Cybersecurity,Cyber Security,"python, node, java",3
Web Dev,Web Developer,"docker, r, react, sql, java, pandas, c",7
AI/ML,Software Engineer (General),"html, r, node, sql, java, kubernetes",6
Web Dev,Web Developer,"html, r, sql, pandas, kubernetes",5
Data Science,Data Scientist,"python, javascript, r, node, go, java, c, mongodb",8
Web Dev,Web Developer,"python, css, html, r, react, pandas, c",7
Web Dev,Web Developer,"r, go, react, java, pandas, sql, c, mongodb, kubernetes",9
Cybersecurity,Cyber Security,"css, docker, r, node, pandas, c",6
Web Dev,Web Developer,"css, docker, r, node, c",5
Cybersecurity,Cyber Security,"javascript, r, node, go, java, pandas, c, mongodb",8
DevOps,DevOps Engineer,"python, r, node, java, tensorflow",5
Web Dev,Web Developer,"javascript, r, node, sql, java, c, tensorflow",7
AI/ML,Software Engineer (General),"css, r, node, go, react, pandas, c, mongodb",8
DevOps,DevOps Engineer,"r, node, react, pandas, c, kubernetes",6
DevOps,DevOps Engineer,"css, docker, javascript, r, node, java, c",7
Data Science,Data Scientist,"python, docker, javascript, r, java, c, tensorflow",7
Web Dev,Web Developer,"css, c, java, pandas",4
DevOps,DevOps Engineer,"go, sql, java, mongodb",4
Web Dev,Web Developer,"css, html, javascript, r, go, java, pandas, c, mongodb, kubernetes",10
Data Science,Data Scientist,"css, docker, r, go, sql, java, c, mongodb",8
DevOps,DevOps Engineer,"react, c, sql, r",4
AI/ML,Software Engineer (General),"css, python, html, r, react, c, kubernetes",7
Cybersecurity,Cyber Security,"docker, javascript, r, node, react, java, c, tensorflow",8
Data Science,Data Scientist,"python, go, html, mongodb",4
Data Science,Data Scientist,"css, r, go, sql, c, mongodb, kubernetes, tensorflow",8
Web Dev,Web Developer,"javascript, r, go, java, c, mongodb, kubernetes, tensorflow",8
Web Dev,Web Developer,"docker, r, go, react, java, c, mongodb",7
AI/ML,Software Engineer (General),"css, python, html, javascript, r, java, pandas, c, kubernetes",9
AI/ML,Software Engineer (General),"css, r, pandas, c, kubernetes",5
Web Dev,Web Developer,"html, r, javascript, java, c",5
Web Dev,Web Developer,"css, javascript, r, java, c",5
Cybersecurity,Cyber Security,"node, c, java",3
AI/ML,Software Engineer (General),"r, node, sql, java, tensorflow",5
AI/ML,Software Engineer (General),"css, html, r, react, c, kubernetes, tensorflow",7
DevOps,DevOps Engineer,"css, docker, r, sql, c, tensorflow",6
Cybersecurity,Cyber Security,"python, c, java, pandas",4
Web Dev,Web Developer,"r, node, react, sql, java, pandas, c",7
AI/ML,Software Engineer (General),"css, r, go, java, pandas, c, mongodb, kubernetes, tensorflow",9
Web Dev,Web Developer,"css, docker, html, javascript, r, react, java, pandas, c",9
Cybersecurity,Cyber Security,"docker, javascript, r, go, sql, java, c, mongodb",8
