source,title,link,location_raw,company_name,description_raw,skills,skills_count,role,location_city,region,jogja_tag,jabodetabek_tag,scraped_at,roadmap_url,is_tech,score
jobstreet,Junior Software Engineer,https://id.jobstreet.com/id/job/91648206,Jakarta Raya,PT Technet Vision Indonesia,"Lewati ke konten
Jobstreet
Cari lowongan
Cari profil
Sumber daya karir
Perusahaan
Komunitas
Bahasa
Masuk
Untuk perusahaan
Junior Software Engineer
PT Technet Vision Indonesia 
Lihat semua lowongan kerja
Jakarta Raya
Developer/Programmer (Teknologi Informasi & Komunikasi)
Full time
Rp 6.000.000 – Rp 7.500.000 per month
Diposting 8 hari yang lalu
Lamaran Cepat
Simpan

Qualifications

Core Requirements

Bachelor’s degree in Computer Science, Software Engineering, Data Science, or related field.

1–3 years of professional experience in full-stack software development. Fresh graduate is welcome to apply.

Proficiency in front-end technologies: HTML, CSS, JavaScript, and frameworks such as React.js (preferred), Vue.js, or Angular.

Proven experience in back-end development using Node.js (preferred), Python, Java, Ruby, or similar languages.

Strong knowledge of SQL and NoSQL databases, including schema design and query optimization.

Experience in RESTful API development and integration.

Strong understanding of OOP principles and modern software development practices.

Hands-on experience with CI/CD pipelines, Git, and deployment to production environments.

Familiarity with Agile / Scrum development methodologies.




AI & Solution Architecture Skills

Experience implementing and deploying machine learning models and integrating AI into production systems.

Knowledge of LLM fine-tuning, prompt engineering, and AI deployment workflows.

Understanding of RAG pipelines, vector databases, and cloud-based AI architectures.

Ability to design, document, and present system architectures to both technical and non-technical audiences.




Additional Qualifications

Experience building LLM-based chatbots, AI automation platforms, or intelligent SaaS products.

Knowledge of LangChain, Pinecone, Weaviate, or other vector database solutions.

Familiarity with containerization and orchestration (Docker, Kubernetes).

Certifications such as AWS Machine Learning, Google Cloud AI Engine","agile, angular, api, aws, cicd, css, docker, gcp, git, html, java, javascript, kubernetes, node, python, react, sql, vue",18,it-general,jakarta,Jabodetabek,False,True,2026-04-29 20:29:18,https://roadmap.sh/computer-science,True,60
jobstreet,Software Engineer Internship,https://id.jobstreet.com/id/job/91761487,Tangerang,OPPO Indonesia,"Lewati ke konten
Jobstreet
Cari lowongan
Cari profil
Sumber daya karir
Perusahaan
Komunitas
Bahasa
Masuk
Untuk perusahaan
Software Engineer Internship
OPPO Indonesia 
4.2
185 ulasan
·
Lihat semua lowongan kerja
Tangerang, Banten
Teknik – Perangkat Lunak (Teknologi Informasi & Komunikasi)
Kontrak/Temporer
Rp 3.000.000 per month
Diposting 2 hari yang lalu
Lamaran Cepat
Simpan

Contract Duration: 3 Months (May - July 2026)

Location: Jl Kawasan Industri Bayur, Tangerang (Full WFO)




Key Responsibilities:

Design and test the web-based dashboard to optimize manufacturing flow and capacity

Develop lightweight Generative AI chatbots to provides step-by-step guidance from internal & external resources

Deploy AI solutions on-premise integrated with production requirement databases

Coordinate cross-functionally with the supply chain team to align technology solutions with business needs




Requirements:

Frontend skills: React.js (include Next.js), Tailwind CSS, shadcn/ui, Recharts & Chart.js, Axios, Three.js (3D Model Library)

Backend skills: REST API, JSON Web Token, PostgreSQL, FastAPI, Web Scraping (BeautifulSoup Phyton), Data Manipulation (NumPy, Pandas), OpenPyXL, Network & Security

Programming languages: Phyton, JavaScript/Typescript, SQL, Go

Tools & Technologies: Git/GitHub (Version Control), Postman, TamperMonkey (Browser Script), Wireshark (Network Analysis)

In-depth understanding of AI/ML, especially Machine Learning and Generative AI in manufacturing optimization

Experience integrating on-premise AI solutions with production systems or internal databases

Strong data analysis, cross-functional collaboration, communication, and teamwork in a multidisciplinary environment

Available for a 3-month internship (Full WFO arrangement)




Lihat peluang & kecocokan kamu
Tingkat respons lamaran
Kesesuaian gaji
Jumlah pelamar
Masuk
Daftar
Pertanyaan dari perusahaan
Lamaran kamu akan mencakup pertanyaan-pertanyaan berikut:
What's your expected monthly basic salar","api, css, fastapi, git, go, java, javascript, nextjs, numpy, pandas, postman, react, sql, typescript",14,it-general,tangerang,Jabodetabek,False,True,2026-04-29 20:23:38,https://roadmap.sh/computer-science,True,51
jobstreet,Full Stack Software Engineer (CAD Rooms Cloud PDM),https://id.jobstreet.com/id/job/91584877,Jakarta Raya,Cavalry Collective Pte. Ltd,"Lewati ke konten
Jobstreet
Cari lowongan
Cari profil
Sumber daya karir
Perusahaan
Komunitas
Bahasa
Masuk
Untuk perusahaan
Full Stack Software Engineer (CAD Rooms Cloud PDM)
Cavalry Collective Pte. Ltd 
Lihat semua lowongan kerja
Jakarta Raya (Jarak jauh)
Teknik – Perangkat Lunak (Teknologi Informasi & Komunikasi)
Full time
Rp 25,000,000 – Rp 35,000,000 per month
Diposting 9 hari yang lalu
Lamaran Cepat
Simpan
About the Role

We are looking for a talented Full Stack Software Engineer to join our engineering team. In this
role, you will design, build, and maintain scalable web applications and services across the
entire technology stack. You will collaborate closely with product managers, designers, and
fellow engineers to deliver high-quality software that powers our platform and delights our users.


Responsibilities

Design, develop, and maintain full stack applications using TypeScript across frontend
and backend services.

Build and manage containerized applications and development environments with
Docker.

Design, implement, and optimize PostgreSQL database schemas, queries, and
migrations.

Collaborate with cross-functional teams to translate product requirements into robust,
scalable technical solutions.

Write clean, well-tested, and well-documented code following engineering best practices.

Participate in code reviews and contribute to improving team development processes
and tooling.

Troubleshoot and resolve production issues, ensuring high availability and performance
of services.

Contribute to architectural decisions and help shape the technical direction of the
platform.


Required Qualifications

3+ years of professional experience in full stack software development.

Strong proficiency in TypeScript for both frontend (React, Next.js, or similar) and
backend (Node.js) development.

Hands-on experience with Docker for containerization, orchestration, and local
development workflows.

Solid experience designing and working with PostgreSQL, including s","api, aws, cicd, docker, git, go, java, javascript, kubernetes, nextjs, node, react, rust, sql, typescript",15,fullstack,jakarta,Remote,False,False,2026-04-29 20:29:58,https://roadmap.sh/full-stack,True,49
jobstreet,Junior Software Engineer (JAVA),https://id.jobstreet.com/id/job/91564329,Jakarta Raya,PT Infinitium Solutions,"Lewati ke konten
Jobstreet
Cari lowongan
Cari profil
Sumber daya karir
Perusahaan
Komunitas
Bahasa
Masuk
Untuk perusahaan
Junior Software Engineer (JAVA)
PT Infinitium Solutions 
Lihat semua lowongan kerja
Jakarta Raya
Developer/Programmer (Teknologi Informasi & Komunikasi)
Full time
Tambahkan gaji yang diharapkan ke profil untuk menambah wawasan
Diposting 9 hari yang lalu
Lamaran Cepat
Simpan

Key Responsibilities:

Participate in all aspects of development and implementation of project deliverables.

Perform testing, troubleshooting, and bug fixing as necessary.

Provide training, mentoring, and knowledge sharing with peers and junior team members.

Follow good development practices and adhere to software development lifecycle methodologies throughout the development process.

Requirements:

Diploma or Degree in Information Technology or equivalent.

Minimum 2 years of working experience in Java (candidates with 5 years or more experience may be considered for a senior position).

Experience with frameworks such as Spring, Hibernate, MVC, or similar.

Experience with JSON RESTful Web Services or other web services.

Knowledge of HTML, JavaScript, jQuery, and related frontend technologies.

Strong understanding of SQL and experience with DBMS such as SQL Server or Oracle DB.

Experience in DevOps practices and tools such as SVN/Git, Jenkins, Sonar, and Maven is preferred.

Familiarity with Agile development methodologies and tools such as Jira.

Good communication skills in English are required.




Added Advantage

Knowledge in payment or related system such as Payment Gateway, Reconciliation, Fraud Detection, 3DS authentication, etc

Experience with cloud platforms (AWS, Azure, or GCP).

Exposure to Docker, Kubernetes, or DevOps practices.

Awareness of security, compliance, or audit requirements (e.g. PCI-DSS, data protection).




Lihat peluang & kecocokan kamu
Tingkat respons lamaran
Kesesuaian gaji
Jumlah pelamar
Masuk
Daftar
Pertanyaan dari perusahaan
Lamara","agile, api, aws, azure, cicd, docker, gcp, git, html, java, javascript, kubernetes, sql",13,it-general,jakarta,Jabodetabek,False,True,2026-04-29 20:29:29,https://roadmap.sh/computer-science,True,45
jobstreet,AI Engineer Internship,https://id.jobstreet.com/id/job/91578213,Tangerang,OPPO Indonesia,"Lewati ke konten
Jobstreet
Cari lowongan
Cari profil
Sumber daya karir
Perusahaan
Komunitas
Bahasa
Masuk
Untuk perusahaan
AI Engineer Internship
OPPO Indonesia 
4.2
185 ulasan
·
Lihat semua lowongan kerja
Tangerang, Banten
Teknik – Perangkat Lunak (Teknologi Informasi & Komunikasi)
Kontrak/Temporer
Rp 3.000.000 per month
Diposting 12 hari yang lalu
Lamaran Cepat
Simpan

Contract Duration: 6 Months (April - October 2026)

Location: Jl Kawasan Industri Bayur, Tangerang (Full WFO)


Key Responsibilities:

Develop lightweight Generative AI chatbots for production data analysis, including predictive maintenance and quality control.

Implement Computer Vision systems to automate AI Detection

Develop Predictive Maintenance models that leverage historical variables to forecast equipment needs, directly enhancing Industry 4.0 operational efficiency.

Build and maintain secure on-premise AI/ML solutions using FastAPI, PostgreSQL, and Python.


Requirements:

Active university student

Frontend Skills: React.js (including Next.js), Tailwind CSS, shadcn/ui

Backend Skills: FastAPI, PostgreSQL (Database), Data manipulation (NumPy, Pandas)

Programing Languages: Typescript, Phyton

AI Skills: Transformers (model architecture), Anomalib (Anomaly Detection), Torch (base model, vision model, audio model), Ollama (LLM and LV) // Assuming LV refers to Large Vision models or similar, Cerebras/OpenAI API (AI API), YOLO (Computer Vision), OpenCV (Image annotation), LangChain (RAG & AI Pipeline), SentenceTransformers (RAG), xTTS (TTS model), Whisper (STT model)

Tools & Technologies: Git (Version Control), Hugging Face (models repository), Label Studio (data labelling)




Lihat peluang & kecocokan kamu
Tingkat respons lamaran
Kesesuaian gaji
Jumlah pelamar
Masuk
Daftar
Pertanyaan dari perusahaan
Lamaran kamu akan mencakup pertanyaan-pertanyaan berikut:
What's your expected monthly basic salary?
Which of the following types of qualifications do you have?
How many years' experience do you","cicd, css, fastapi, git, javascript, nextjs, numpy, pandas, python, react, sql, typescript",12,ai/ml,tangerang,Jabodetabek,False,True,2026-04-29 20:30:17,https://roadmap.sh/ai-data-scientist,True,45
glints,Software Engineer (Intern),https://glints.com/id/opportunities/jobs/software-engineer-intern/f3e22085-cdae-4839-a3ca-5ef2c00d5565,,Glints Taploker,"Deskripsi pekerjaan Software Engineer (Intern) Glints Taploker

At Glints, we are building the #1 tech-enabled recruitment and career discovery platform in Southeast Asia that helps people and organizations realize their human potential.

Join Glints as a Software Engineer Intern and be part of our mission to help people and organizations realize their human potential. You’ll work with experienced engineers on real-world products that power job matching, hiring, and talent development in Southeast Asia.

Whether your focus is frontend, backend, or full-stack, you’ll build scalable solutions, learn agile development, and gain mentorship from Glints’ high-performance engineering team.

A Pathway to Your Full-Time Career

Please note: This program is designed as a direct launchpad for a full-time career at Glints. Our primary goal is to mentor and develop promising talent into long-term team members.

Full-Time Conversion: While not guaranteed, this internship has a strong potential for a full-time (FT) offer. Conversion is based on your performance during the program and business needs at the time of completion.
Eligibility: Because of this, the ideal candidate is a final-year university student or a recent graduate who is able to transition into a full-time role.
Commitment & Location: This is a full-time role. While the on-site requirement for the internship is negotiable, we expect you to work from our office upon conversion to a full-time position.

What You'll Be Doing

In this role, you will:

- Collaborate with an agile development team to support the delivery of impactful web features and improvements.

- Assist in building and testing web application features, primarily using HTML, CSS, JavaScript, TypeScript, and React or similar frameworks.

- Support frontend development tasks such as fixing bugs, improving UI, or implementing small features under close guidance.

- Participate in code reviews, and team discussions where you will learn industry best practi","agile, api, css, git, html, java, javascript, nextjs, react, typescript",10,it-general,jakarta,Jabodetabek,False,True,2026-04-29 20:19:04,https://roadmap.sh/computer-science,True,39
glints,Backend Developer Intern,https://glints.com/id/opportunities/jobs/backend-developer-intern/789346dd-12fc-4f84-8911-2c6a3d0da3ea,,PT Sigma Global Teknologi,"Deskripsi pekerjaan Backend Developer Intern PT Sigma Global Teknologi

Kami mencari Backend Developer Intern yang antusias dan memiliki minat tinggi di bidang pengembangan web menggunakan Python.

Anda akan bekerja bersama tim engineering dalam membangun aplikasi modern dan scalable.

Requirements:

- Memiliki dasar yang kuat dalam HTML5, CSS3, dan JavaScript (ES6+).

- Familiar dengan framework Python (Django / Flask / FastAPI) (basic)

- Mengerti dasar database (PostgreSQL/MySQL atau MongoDB)

- Dapat bekerja dalam tim, komunikatif, dan mau belajar hal baru.

- Nilai tambah jika pernah memiliki pengalaman dengan cloud / deployment

- Bersedia bekerja secara on-site (WFO) di kantor","django, fastapi, flask, html, java, javascript, mongodb, python, sql",9,backend,jakarta,Jabodetabek,False,True,2026-04-29 20:20:53,https://roadmap.sh/backend,True,36
glints,Software Engineer - Fullstack (Laravel) Intern,https://glints.com/id/opportunities/jobs/software-engineer-fullstack-laravel-intern/bcff28ab-9c12-4202-b89a-0146b168b6f4,,GITS Indonesia,"Deskripsi pekerjaan Software Engineer - Fullstack (Laravel) Intern GITS Indonesia

Kami membuka kesempatan magang sebagai SE Fullstack Engineer Intern bagi mahasiswa tingkat akhir atau fresh graduate. Pada posisi ini, intern akan berkontribusi dalam pengembangan dan pemeliharaan aplikasi web menggunakan Laravel, termasuk pembuatan RESTful API, pengelolaan database relasional (PostgreSQL/MySQL), serta pengembangan frontend menggunakan HTML, CSS, dan JavaScript. Intern akan bekerja sama dengan tim pengembang menggunakan Git, membantu proses debugging dan testing, serta berpartisipasi dalam kolaborasi tim. Kandidat diharapkan memiliki kemampuan komunikasi yang baik, bersedia menjalani magang full-time minimal 3 bulan, dan bersedia ditempatkan di Summarecon – Bandung.","api, css, git, html, java, javascript, laravel, sql",8,backend,bandung,Jawa Barat,False,False,2026-04-29 20:19:44,https://roadmap.sh/backend,True,31
jobstreet,Fullstack Software Engineer,https://id.jobstreet.com/id/job/90967541,Jakarta Pusat,Kinobi AI,"Lewati ke konten
Jobstreet
Cari lowongan
Cari profil
Sumber daya karir
Perusahaan
Komunitas
Bahasa
Masuk
Untuk perusahaan
Fullstack Software Engineer
Kinobi AI
Lihat semua lowongan kerja
Jakarta Pusat, Jakarta Raya (Jarak jauh)
Developer/Programmer (Teknologi Informasi & Komunikasi)
Full time
Rp 14.000.000 – Rp 20.000.000 per month
Diposting 30+ hari yang lalu
Lamaran Cepat
Simpan

Kinobi AI is a Singapore-based company dedicated to transforming higher education by helping universities go beyond just academics. We focus on holistic student success, leveraging AI-powered solutions to ensure that students are well-prepared for their careers. We're looking for individuals who share our vision and want to make a meaningful impact in the future of education.

Our purpose is to:

Empower institutions to guide their beneficiaries toward meaningful employment opportunities through AI-driven solutions.

Demonstrate to the world that a global AI-powered B2B SaaS enterprise can be successfully built from Southeast Asia.

About the Role:

As a Full Stack Software Engineer at Kinobi AI, you will play a crucial role in developing our core platform and shaping the future of our AI-driven products. You will be responsible for building scalable, maintainable, and high-quality code, while also contributing to the development of intelligent features that support holistic education and student career readiness.

Key Responsibilities:

Work directly with the CTO on occasions to ensure we build an intelligent, AI-powered, customer-loving product for our clients.

Support the development and eventually take ownership of the application development roadmap — including AI-integrated feature planning, technical research, prioritization, and action planning.

Take ownership of the full development lifecycle and operate closely like a forward-deployed engineer, especially in shaping AI-first features.

Push the frontier of Kinobi’s AI capabilities and technological innovation in the era of int","cicd, express, git, go, javascript, mongodb, node, react, vue",9,fullstack,jakarta,Remote,False,False,2026-04-29 20:28:15,https://roadmap.sh/full-stack,True,31
glints,Web Developer Intern,https://glints.com/id/opportunities/jobs/web-developer-intern/c114c5d0-616b-49c0-97ae-58f9f7700c82,,The Originote,"Deskripsi pekerjaan Web Developer Intern The Originote

Responsibilities :

-) Assist in developing and maintaining company websites and web applications

-) Support the Commercial team in implementing digital campaigns, landing pages, and promotional features

-) Write clean, efficient, and well-documented code

Troubleshoot, debug, and optimize website performance

-) Collaborate with cross-functional teams to improve user experience



Requirements :

-) Familiarity with PHP programming language

-) Familiarity with MySQL or other Database Management System

-) Basic understanding of web development concepts (HTML, CSS, JavaScript)

-) Familiarity with Laravel framework is an advantage

-) Strong willingness to learn and grow in a fast-paced environment","css, html, java, javascript, laravel, php, sql",7,frontend,jakarta,Jabodetabek,False,True,2026-04-29 20:21:38,https://roadmap.sh/frontend,True,30
