skill,index,source
accessibility,0,local
adobexd,1,local
agile,2,local
android,3,local+roadmap
angular,4,local+roadmap
ansible,5,local
api,6,local+roadmap
apollo,7,local
appium,8,local
aspnet,9,roadmap
astro,10,local
automation,11,local
aws,12,local+roadmap
azure,13,local
bash,14,local+roadmap
bitbucket,15,local
c,16,local+roadmap
cicd,17,local
cloud,18,local
cpp,19,roadmap
css,20,local+roadmap
database,21,local
design system,22,local
django,23,local+roadmap
docker,24,local+roadmap
elasticsearch,25,local
express,26,local
fastapi,27,local
figma,28,local
firebase,29,local
flask,30,local
flutter,31,local+roadmap
gcp,32,local
git,33,local+roadmap
go,34,local+roadmap
graphql,35,local+roadmap
html,36,local+roadmap
ios,37,local
java,38,local+roadmap
javascript,39,local+roadmap
jest,40,local
kotlin,41,local+roadmap
kubernetes,42,local+roadmap
laravel,43,local+roadmap
linux,44,local+roadmap
mongodb,45,local+roadmap
network security,46,local
networking,47,local
nextjs,48,local+roadmap
node,49,local+roadmap
nosql,50,local
numpy,51,local
pandas,52,local
penetration,53,local
php,54,local+roadmap
postman,55,local
powerbi,56,local
python,57,local+roadmap
pytorch,58,local
quality assurance,59,local
r,60,local
react,61,local+roadmap
react native,62,roadmap
redis,63,local+roadmap
ruby on rails,64,roadmap
rust,65,local+roadmap
scala,66,roadmap
security,67,local
selenium,68,local
sklearn,69,local
spark,70,local
springboot,71,local+roadmap
sql,72,local+roadmap
swift,73,local
tableau,74,local
tailwind,75,local
tensorflow,76,local+roadmap
terraform,77,roadmap
testing,78,local
typescript,79,local+roadmap
user research,80,local
vue,81,local+roadmap
wireshark,82,local
